MGI:MGI:107717	Myh9
MGI:MGI:1918491	Dmrtc2
MGI:MGI:1913390	Ska2
MGI:MGI:1277214	Sept11
MGI:MGI:98643	Dynlt1b
MGI:MGI:106299	Slx4
MGI:MGI:3041235	Ska3
MGI:MGI:1918427	Ints13
MGI:MGI:3041256	Fam107a
MGI:MGI:106271	Mapre2
MGI:MGI:2154441	Nop53
MGI:MGI:106209	Hells
MGI:MGI:1891434	Pde4dip
MGI:MGI:3779933	Topaz1
MGI:MGI:106014	Nudc
MGI:MGI:1928488	Akap8
MGI:MGI:1928478	Brinp1
MGI:MGI:1913828	Mis18a
MGI:MGI:1933126	Cdk5rap3
MGI:MGI:1921727	4933427D14Rik
MGI:MGI:1921720	Cep72
MGI:MGI:88180	Bmp4
MGI:MGI:1913867	Ntmt1
MGI:MGI:2138614	Ccnyl1
MGI:MGI:102469	Nfatc1
MGI:MGI:109194	Ywhah
MGI:MGI:88141	Bcr
MGI:MGI:88139	Bcl2l1
MGI:MGI:88138	Bcl2
MGI:MGI:88111	Atp2b4
MGI:MGI:104853	Hes1
MGI:MGI:1332638	Wiz
MGI:MGI:2686410	Meioc
MGI:MGI:2389572	Brcc3
MGI:MGI:104814	Ier3
MGI:MGI:98397	Src
MGI:MGI:98388	Sptbn1
MGI:MGI:1915033	Ahctf1
MGI:MGI:98366	Sox4
MGI:MGI:98364	Sox2
MGI:MGI:98363	Sox15
MGI:MGI:2139135	Anapc2
MGI:MGI:1354163	Ercc4
MGI:MGI:1918049	Cep192
MGI:MGI:1354159	E2f6
MGI:MGI:1349482	Slc9a3r1
MGI:MGI:1349481	Ing1
MGI:MGI:1201685	Ctbp1
MGI:MGI:1201682	Kif20a
MGI:MGI:2446256	Spire2
MGI:MGI:1349448	Cenph
MGI:MGI:1349436	Ern2
MGI:MGI:1921585	Xrcc3
MGI:MGI:1349427	Exo1
MGI:MGI:1349423	Racgap1
MGI:MGI:1921571	Tipin
MGI:MGI:1349415	Cops5
MGI:MGI:1349410	Triobp
MGI:MGI:1916851	Dab2ip
MGI:MGI:1921506	Cyld
MGI:MGI:102657	Cdc34
MGI:MGI:1916831	Rhou
MGI:MGI:104684	Eps8
MGI:MGI:104683	Fnta
MGI:MGI:1916806	Bod1
MGI:MGI:104663	Lep
MGI:MGI:1931797	Ckap2
MGI:MGI:1930140	Wdr6
MGI:MGI:1346832	Esrrb
MGI:MGI:1096335	Adam17
MGI:MGI:101845	Mcm3
MGI:MGI:101834	Tubg1
MGI:MGI:108564	Meis2
MGI:MGI:2651568	Klhdc3
MGI:MGI:101816	Msh2
MGI:MGI:1917834	Pak4
MGI:MGI:1918141	Spdya
MGI:MGI:1918110	Sept10
MGI:MGI:1343463	Bub3
MGI:MGI:1891189	Ensa
MGI:MGI:2140967	Mapre3
MGI:MGI:2140945	Pds5b
MGI:MGI:2444505	Marf1
MGI:MGI:2147658	Afap1l2
MGI:MGI:2443298	Tet2
MGI:MGI:1914705	Klhl13
MGI:MGI:109292	Rad50
MGI:MGI:2384790	Fanci
MGI:MGI:2384788	Sde2
MGI:MGI:2384784	Eif4g1
MGI:MGI:5579196	Gm28490
MGI:MGI:107995	Upf1
MGI:MGI:2676901	Mir26b
MGI:MGI:2676900	Mir26a-1
MGI:MGI:1891915	Foxo4
MGI:MGI:1918764	Sfpq
MGI:MGI:1889651	Eid1
MGI:MGI:2448270	Rpl17
MGI:MGI:2139806	Spg20
MGI:MGI:2156057	Dclre1b
MGI:MGI:1918722	Usp19
MGI:MGI:1919369	Tpx2
MGI:MGI:109506	Xlr3a
MGI:MGI:1918843	Llgl2
MGI:MGI:1354953	Magi2
MGI:MGI:1354946	Mapk6
MGI:MGI:2676890	Mir214
MGI:MGI:1334460	Bop1
MGI:MGI:1334448	Aspm
MGI:MGI:2676843	Mir16-1
MGI:MGI:106611	Rnf112
MGI:MGI:1933744	Cenpq
MGI:MGI:2676807	Mir124a-1
MGI:MGI:1891834	Nupr1
MGI:MGI:1891828	Becn1
MGI:MGI:1923401	Cep76
MGI:MGI:1916789	Trnp1
MGI:MGI:1270862	Axin2
MGI:MGI:1270849	Rps6kb1
MGI:MGI:1270841	Cry1
MGI:MGI:1922919	Pik3r4
MGI:MGI:2686926	Gdpd5
MGI:MGI:1923389	Haus6
MGI:MGI:1923373	Gpsm2
MGI:MGI:98888	Ubb
MGI:MGI:1918951	Pnpt1
MGI:MGI:98869	Tuba1a
MGI:MGI:102525	Pou4f1
MGI:MGI:107576	Sipa1
MGI:MGI:98834	Trp53
MGI:MGI:1918625	Foxn3
MGI:MGI:1354738	Fbxl12
MGI:MGI:1354733	Dmrt1
MGI:MGI:1354731	Fbxw5
MGI:MGI:102548	Tsc2
MGI:MGI:106477	Mepce
MGI:MGI:2676663	L3mbtl1
MGI:MGI:1891691	Arpp19
MGI:MGI:1354708	Fbxo31
MGI:MGI:99511	Ptpn11
MGI:MGI:1913099	Psrc1
MGI:MGI:1913096	Jmy
MGI:MGI:2676627	Nanos2
MGI:MGI:1928899	Tacc2
MGI:MGI:1928897	Piwil1
MGI:MGI:1933546	Tas1r2
MGI:MGI:1891638	Nek6
MGI:MGI:5440224	Gm21996
MGI:MGI:88588	Cyp1a1
MGI:MGI:2684909	Stox1
MGI:MGI:88547	Csnk2a2
MGI:MGI:88543	Csnk2a1
MGI:MGI:1276106	Ccnk
MGI:MGI:1276108	Birc6
MGI:MGI:3036246	Hfm1
MGI:MGI:1344418	Cib1
MGI:MGI:1861676	Nme6
MGI:MGI:2144013	Xpo1
MGI:MGI:2443187	Terb1
MGI:MGI:1917162	Nup43
MGI:MGI:1195267	Ilk
MGI:MGI:1195265	Per2
MGI:MGI:1861607	Gbf1
MGI:MGI:2443149	Gen1
MGI:MGI:1346347	Mapk7
MGI:MGI:1346325	Gadd45g
MGI:MGI:1346320	Taf10
MGI:MGI:1351320	Trp53bp1
MGI:MGI:5579576	Gm28870
MGI:MGI:1351332	Azi2
MGI:MGI:1351333	Thoc5
MGI:MGI:2443104	Cntln
MGI:MGI:1913765	Cul7
MGI:MGI:2146220	Fbxo4
MGI:MGI:2429770	Nle1
MGI:MGI:3605548	Spin2c
MGI:MGI:1913718	Ska1
MGI:MGI:1933218	Tdrd1
MGI:MGI:1923258	Nabp1
MGI:MGI:1923988	Paf1
MGI:MGI:108224	Ccl12
MGI:MGI:1923965	Cntd1
MGI:MGI:2139434	Mylk2
MGI:MGI:108212	Ripk1
MGI:MGI:1923957	Clasp1
MGI:MGI:1923935	Eif4g3
MGI:MGI:1923913	Majin
MGI:MGI:1923294	Ncapg2
